"SOC Code","Occupation Title","AIOE","Macro-Category","Broad_Category"
"47-3014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","-2.045","Other Services","Operations & Services"
"47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","-1.679","Other Services","Operations & Services"
"47-3016","Helpers--Roofers","-1.898","Other Services","Operations & Services"
"47-4011","Construction and Building Inspectors","0.286","Other Services","Operations & Services"
"47-4021","Elevator Installers and Repairers","-0.86","Other Services","Operations & Services"
"47-4031","Fence Erectors","-1.902","Other Services","Operations & Services"
"47-4041","Hazardous Materials Removal Workers","-0.689","Other Services","Operations & Services"
"47-4051","Highway Maintenance Workers","-1.279","Other Services","Operations & Services"
"47-4061","Rail-Track Laying and Maintenance Equipment Operators","-1.399","Other Services","Operations & Services"
"47-4071","Septic Tank Servicers and Sewer Pipe Cleaners","-1.211","Other Services","Operations & Services"
"47-4091","Segmental Pavers","-0.983","Other Services","Operations & Services"
"47-4099","Construction and Related Workers, All Other","-0.873","Other Services","Operations & Services"
"47-5011","Derrick Operators, Oil and Gas","-1.415","Other Services","Operations & Services"
"47-5012","Rotary Drill Operators, Oil and Gas","-0.774","Other Services","Operations & Services"
"47-5013","Service Unit Operators, Oil, Gas, and Mining","-0.972","Other Services","Operations & Services"
"47-5021","Earth Drillers, Except Oil and Gas","-0.702","Other Services","Operations & Services"
"47-5031","Explosives Workers, Ordnance Handling Experts, and Blasters","-0.773","Other Services","Operations & Services"
"47-5041","Continuous Mining Machine Operators","-1.165","Other Services","Operations & Services"
"47-5042","Mine Cutting and Channeling Machine Operators","-1.2","Other Services","Operations & Services"
"47-5051","Rock Splitters, Quarry","-1.763","Other Services","Operations & Services"
"47-5061","Roof Bolters, Mining","-1.619","Other Services","Operations & Services"
"47-5071","Roustabouts, Oil and Gas","-1.519","Other Services","Operations & Services"
"47-5081","Helpers--Extraction Workers","-1.543","Other Services","Operations & Services"
"49-1011","First-Line Supervisors/Managers of Mechanics, Installers, and Repairers","-0.021","Other Services","Operations & Services"
"49-2011","Computer, Automated Teller, and Office Machine Repairers","-0.346","Other Services","Operations & Services"
"49-2021","Radio Mechanics","-0.634","Other Services","Operations & Services"
"49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","-0.853","Other Services","Operations & Services"
"49-2091","Avionics Technicians","-0.173","Other Services","Operations & Services"
"49-2092","Electric Motor, Power Tool, and Related Repairers","-0.811","Other Services","Operations & Services"
"49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment","-0.83","Other Services","Operations & Services"
"49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment","-0.463","Other Services","Operations & Services"
"49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","-0.552","Other Services","Operations & Services"
"49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles","-0.792","Other Services","Operations & Services"
"49-2097","Electronic Home Entertainment Equipment Installers and Repairers","-0.571","Other Services","Operations & Services"
"49-2098","Security and Fire Alarm Systems Installers","-0.693","Other Services","Operations & Services"
"49-3011","Aircraft Mechanics and Service Technicians","-0.655","Other Services","Operations & Services"
"49-3021","Automotive Body and Related Repairers","-1.181","Other Services","Operations & Services"
"49-3022","Automotive Glass Installers and Repairers","-1.202","Other Services","Operations & Services"
"49-3023","Automotive Service Technicians and Mechanics","-0.955","Other Services","Operations & Services"
"49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","-1.01","Other Services","Operations & Services"
"49-3041","Farm Equipment Mechanics","-1.207","Other Services","Operations & Services"
"49-3042","Mobile Heavy Equipment Mechanics, Except Engines","-1.17","Other Services","Operations & Services"
"49-3043","Rail Car Repairers","-1.448","Other Services","Operations & Services"
"49-3051","Motorboat Mechanics","-0.886","Other Services","Operations & Services"
"49-3052","Motorcycle Mechanics","-0.764","Other Services","Operations & Services"
"49-3053","Outdoor Power Equipment and Other Small Engine Mechanics","-0.894","Other Services","Operations & Services"
"49-3091","Bicycle Repairers","-0.923","Other Services","Operations & Services"
"49-3092","Recreational Vehicle Service Technicians","-0.924","Other Services","Operations & Services"
"49-3093","Tire Repairers and Changers","-1.551","Other Services","Operations & Services"
"49-9011","Mechanical Door Repairers","-1.383","Other Services","Operations & Services"
"49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","-0.761","Other Services","Operations & Services"
"49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","-0.849","Other Services","Operations & Services"
"49-9031","Home Appliance Repairers","-0.97","Other Services","Operations & Services"
"49-9041","Industrial Machinery Mechanics","-1.133","Other Services","Operations & Services"
"49-9043","Maintenance Workers, Machinery","-0.974","Other Services","Operations & Services"
"49-9044","Millwrights","-1.266","Other Services","Operations & Services"
"49-9045","Refractory Materials Repairers, Except Brickmasons","-1.237","Other Services","Operations & Services"
"49-9051","Electrical Power-Line Installers and Repairers","-1.081","Other Services","Operations & Services"
"49-9052","Telecommunications Line Installers and Repairers","-1.084","Other Services","Operations & Services"
"49-9061","Camera and Photographic Equipment Repairers","0.055","Other Services","Operations & Services"
"49-9062","Medical Equipment Repairers","-0.277","Other Services","Operations & Services"
"49-9063","Musical Instrument Repairers and Tuners","-0.531","Other Services","Operations & Services"
"49-9064","Watch Repairers","-0.212","Other Services","Operations & Services"
"49-9071","Maintenance and Repair Workers, General","-1.014","Other Services","Operations & Services"
"49-9081","Wind Turbine Service Technicians","-0.971","Other Services","Operations & Services"
"49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers","-0.723","Other Services","Operations & Services"
"49-9092","Commercial Divers","-1.103","Other Services","Operations & Services"
"49-9093","Fabric Menders, Except Garment","-1.373","Other Services","Operations & Services"
"49-9094","Locksmiths and Safe Repairers","-0.866","Other Services","Operations & Services"
"49-9095","Manufactured Building and Mobile Home Installers","-1.414","Other Services","Operations & Services"
"49-9096","Riggers","-1.222","Other Services","Operations & Services"
"49-9097","Signal and Track Switch Repairers","-0.858","Other Services","Operations & Services"
"49-9098","Helpers--Installation, Maintenance, and Repair Workers","-1.347","Other Services","Operations & Services"
"49-9099","Installation, Maintenance, and Repair Workers, All Other","-0.59","Other Services","Operations & Services"
"51-1011","First-Line Supervisors/Managers of Production and Operating Workers","-0.085","Other Services","Operations & Services"
"51-2011","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","-0.868","Other Services","Operations & Services"
"51-2021","Coil Winders, Tapers, and Finishers","-0.829","Other Services","Operations & Services"
"51-2022","Electrical and Electronic Equipment Assemblers","-0.625","Other Services","Operations & Services"
"51-2023","Electromechanical Equipment Assemblers","-0.498","Other Services","Operations & Services"
"51-2031","Engine and Other Machine Assemblers","-0.956","Other Services","Operations & Services"
"51-2041","Structural Metal Fabricators and Fitters","-1.076","Other Services","Operations & Services"
"51-2091","Fiberglass Laminators and Fabricators","-1.216","Other Services","Operations & Services"
"51-2092","Team Assemblers","-0.831","Other Services","Operations & Services"
"51-2093","Timing Device Assemblers, Adjusters, and Calibrators","-0.255","Other Services","Operations & Services"
"51-3011","Bakers","-0.385","Other Services","Operations & Services"
"51-3021","Butchers and Meat Cutters","-0.971","Other Services","Operations & Services"
"51-3022","Meat, Poultry, and Fish Cutters and Trimmers","-1.106","Other Services","Operations & Services"
"51-3023","Slaughterers and Meat Packers","-1.835","Other Services","Operations & Services"
"51-3091","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","-0.759","Other Services","Operations & Services"
"51-3092","Food Batchmakers","-0.379","Other Services","Operations & Services"
"51-3093","Food Cooking Machine Operators and Tenders","-0.556","Other Services","Operations & Services"
"51-4011","Computer-Controlled Machine Tool Operators, Metal and Plastic","-0.674","Other Services","Operations & Services"
"51-4012","Numerical Tool and Process Control Programmers","-0.024","Other Services","Operations & Services"
"51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","-1.234","Other Services","Operations & Services"
"51-4022","Forging Machine Setters, Operators, and Tenders, Metal and Plastic","-0.805","Other Services","Operations & Services"
"51-4023","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","-1.089","Other Services","Operations & Services"
"51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","-1.037","Other Services","Operations & Services"
"51-4032","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","-0.76","Other Services","Operations & Services"
"51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","-0.99","Other Services","Operations & Services"
"51-4034","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","-1.067","Other Services","Operations & Services"
"51-4035","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","-0.87","Other Services","Operations & Services"
"51-4041","Machinists","-0.868","Other Services","Operations & Services"
"51-4051","Metal-Refining Furnace Operators and Tenders","-1.167","Other Services","Operations & Services"
"51-4052","Pourers and Casters, Metal","-1.009","Other Services","Operations & Services"
"51-4061","Model Makers, Metal and Plastic","-0.742","Other Services","Operations & Services"
"51-4062","Patternmakers, Metal and Plastic","-0.613","Other Services","Operations & Services"
"51-4071","Foundry Mold and Coremakers","-1.74","Other Services","Operations & Services"
"51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","-1.146","Other Services","Operations & Services"
"51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","-0.743","Other Services","Operations & Services"
"51-4111","Tool and Die Makers","-0.532","Other Services","Operations & Services"
"51-4121","Welders, Cutters, Solderers, and Brazers","-1.198","Other Services","Operations & Services"
"51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","-1.002","Other Services","Operations & Services"
"51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","-1.092","Other Services","Operations & Services"
"51-4192","Lay-Out Workers, Metal and Plastic","-0.722","Other Services","Operations & Services"
"51-4193","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","-0.9","Other Services","Operations & Services"
"51-4194","Tool Grinders, Filers, and Sharpeners","-0.881","Other Services","Operations & Services"
"51-5111","Prepress Technicians and Workers","0.411","Other Services","Operations & Services"
"51-5112","Printing Press Operators","-0.709","Other Services","Operations & Services"
"51-5113","Print Binding and Finishing Workers","-0.906","Other Services","Operations & Services"
"51-6011","Laundry and Dry-Cleaning Workers","-1.054","Other Services","Operations & Services"
"51-6021","Pressers, Textile, Garment, and Related Materials","-1.95","Other Services","Operations & Services"
"51-6031","Sewing Machine Operators","-0.964","Other Services","Operations & Services"
"51-6041","Shoe and Leather Workers and Repairers","-0.991","Other Services","Operations & Services"
"51-6042","Shoe Machine Operators and Tenders","-1.03","Other Services","Operations & Services"
"51-6051","Sewers, Hand","-0.599","Other Services","Operations & Services"
"51-6052","Tailors, Dressmakers, and Custom Sewers","-0.431","Other Services","Operations & Services"
"51-6061","Textile Bleaching and Dyeing Machine Operators and Tenders","-0.861","Other Services","Operations & Services"
"51-6062","Textile Cutting Machine Setters, Operators, and Tenders","-1.023","Other Services","Operations & Services"
"51-6063","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","-1.242","Other Services","Operations & Services"
"51-6064","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","-1.393","Other Services","Operations & Services"
"51-6091","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","-0.86","Other Services","Operations & Services"
"51-6092","Fabric and Apparel Patternmakers","-0.083","Other Services","Operations & Services"
"51-6093","Upholsterers","-1.314","Other Services","Operations & Services"
"51-7011","Cabinetmakers and Bench Carpenters","-1.327","Other Services","Operations & Services"
"51-7021","Furniture Finishers","-1.198","Other Services","Operations & Services"
"51-7031","Model Makers, Wood","-0.728","Other Services","Operations & Services"
"51-7032","Patternmakers, Wood","-1.058","Other Services","Operations & Services"
"51-7041","Sawing Machine Setters, Operators, and Tenders, Wood","-1.165","Other Services","Operations & Services"
"51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","-1.13","Other Services","Operations & Services"
"51-8011","Nuclear Power Reactor Operators","0.771","Other Services","Operations & Services"
"51-8012","Power Distributors and Dispatchers","0.501","Other Services","Operations & Services"
"51-8013","Power Plant Operators","-0.348","Other Services","Operations & Services"
"51-8021","Stationary Engineers and Boiler Operators","-0.503","Other Services","Operations & Services"
"51-8031","Water and Liquid Waste Treatment Plant and System Operators","-0.445","Other Services","Operations & Services"
"51-8091","Chemical Plant and System Operators","-0.383","Other Services","Operations & Services"
"51-8092","Gas Plant Operators","-0.298","Other Services","Operations & Services"
"51-8093","Petroleum Pump System Operators, Refinery Operators, and Gaugers","-0.37","Other Services","Operations & Services"
"51-8099","Plant and System Operators, All Other","-0.67","Other Services","Operations & Services"
"51-9011","Chemical Equipment Operators and Tenders","-0.512","Other Services","Operations & Services"
"51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","-0.938","Other Services","Operations & Services"
"51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","-1.043","Other Services","Operations & Services"
"51-9022","Grinding and Polishing Workers, Hand","-1.147","Other Services","Operations & Services"
"51-9023","Mixing and Blending Machine Setters, Operators, and Tenders","-0.82","Other Services","Operations & Services"
"51-9031","Cutters and Trimmers, Hand","-0.948","Other Services","Operations & Services"
"51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders","-1.079","Other Services","Operations & Services"
"51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","-1.042","Other Services","Operations & Services"
"51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","-0.958","Other Services","Operations & Services"
"51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers","-0.029","Other Services","Operations & Services"
"51-9071","Jewelers and Precious Stone and Metal Workers","-0.156","Other Services","Operations & Services"
"51-9081","Dental Laboratory Technicians","0.001","Other Services","Operations & Services"
"51-9082","Medical Appliance Technicians","-0.495","Other Services","Operations & Services"
"51-9083","Ophthalmic Laboratory Technicians","-0.597","Other Services","Operations & Services"
"51-9111","Packaging and Filling Machine Operators and Tenders","-0.979","Other Services","Operations & Services"
"51-9121","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","-1.121","Other Services","Operations & Services"
"51-9122","Painters, Transportation Equipment","-1.448","Other Services","Operations & Services"
"51-9123","Painting, Coating, and Decorating Workers","-0.971","Other Services","Operations & Services"
"51-9141","Semiconductor Processors","-0.637","Other Services","Operations & Services"
"51-9151","Photographic Process Workers and Processing Machine Operators","-0.362","Other Services","Operations & Services"
"51-9191","Cementing and Gluing Machine Operators and Tenders","-1.311","Other Services","Operations & Services"
"51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","-1.142","Other Services","Operations & Services"
"51-9193","Cooling and Freezing Equipment Operators and Tenders","-0.96","Other Services","Operations & Services"
"51-9194","Etchers and Engravers","-0.64","Other Services","Operations & Services"
"51-9195","Molders, Shapers, and Casters, Except Metal and Plastic","-1.183","Other Services","Operations & Services"
"51-9196","Paper Goods Machine Setters, Operators, and Tenders","-0.874","Other Services","Operations & Services"
"51-9197","Tire Builders","-1.611","Other Services","Operations & Services"
"51-9198","Helpers--Production Workers","-1.411","Other Services","Operations & Services"
"51-9199","Production Workers, All Other","-1.291","Other Services","Operations & Services"
"53-1011","Aircraft Cargo Handling Supervisors","-0.709","Other Services","Operations & Services"
"53-1021","First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand","0.116","Other Services","Operations & Services"
"53-1031","First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators","0.147","Other Services","Operations & Services"
"53-2011","Airline Pilots, Copilots, and Flight Engineers","-0.207","Other Services","Operations & Services"
"53-2012","Commercial Pilots","-0.182","Other Services","Operations & Services"
"53-2021","Air Traffic Controllers","1.153","Other Services","Operations & Services"
"53-2022","Airfield Operations Specialists","0.485","Other Services","Operations & Services"
"53-2031","Flight Attendants","-0.762","Other Services","Operations & Services"
"53-3011","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","-0.83","Other Services","Operations & Services"
"53-3021","Bus Drivers, Transit and Intercity","-0.605","Other Services","Operations & Services"
"53-3022","Bus Drivers, School","-0.298","Other Services","Operations & Services"
"53-3031","Driver/Sales Workers","-0.729","Other Services","Operations & Services"
"53-3032","Truck Drivers, Heavy and Tractor-Trailer","-1.149","Other Services","Operations & Services"
"53-3033","Truck Drivers, Light or Delivery Services","-1.121","Other Services","Operations & Services"
"53-3041","Taxi Drivers and Chauffeurs","-0.632","Other Services","Operations & Services"
"53-4011","Locomotive Engineers","-0.498","Other Services","Operations & Services"
"53-4012","Locomotive Firers","-0.771","Other Services","Operations & Services"
"53-4013","Rail Yard Engineers, Dinkey Operators, and Hostlers","-0.832","Other Services","Operations & Services"
"53-4021","Railroad Brake, Signal, and Switch Operators","-1.218","Other Services","Operations & Services"
"53-4031","Railroad Conductors and Yardmasters","-0.466","Other Services","Operations & Services"
"53-4041","Subway and Streetcar Operators","-0.616","Other Services","Operations & Services"
"53-5011","Sailors and Marine Oilers","-1.15","Other Services","Operations & Services"
"53-5021","Captains, Mates, and Pilots of Water Vessels","-0.428","Other Services","Operations & Services"
"53-5022","Motorboat Operators","-0.887","Other Services","Operations & Services"
"53-5031","Ship Engineers","-0.526","Other Services","Operations & Services"
"53-6011","Bridge and Lock Tenders","-0.632","Other Services","Operations & Services"
"53-6021","Parking Lot Attendants","-0.835","Other Services","Operations & Services"
"53-6031","Service Station Attendants","-1.221","Other Services","Operations & Services"
"53-6041","Traffic Technicians","0.4","Other Services","Operations & Services"
"53-6051","Transportation Inspectors","-0.184","Other Services","Operations & Services"
"53-6061","Transportation Attendants, Except Flight Attendants","-0.375","Other Services","Operations & Services"
"53-7011","Conveyor Operators and Tenders","-0.755","Other Services","Operations & Services"
"53-7021","Crane and Tower Operators","-1.031","Other Services","Operations & Services"
"53-7031","Dredge Operators","-1.017","Other Services","Operations & Services"
"53-7032","Excavating and Loading Machine and Dragline Operators","-1.144","Other Services","Operations & Services"
"53-7033","Loading Machine Operators, Underground Mining","-1.263","Other Services","Operations & Services"
"53-7041","Hoist and Winch Operators","-0.978","Other Services","Operations & Services"
"53-7051","Industrial Truck and Tractor Operators","-1.399","Other Services","Operations & Services"
"53-7061","Cleaners of Vehicles and Equipment","-1.63","Other Services","Operations & Services"
"53-7062","Laborers and Freight, Stock, and Material Movers, Hand","-1.709","Other Services","Operations & Services"
"53-7063","Machine Feeders and Offbearers","-1.037","Other Services","Operations & Services"
"53-7064","Packers and Packagers, Hand","-1.514","Other Services","Operations & Services"
"53-7071","Gas Compressor and Gas Pumping Station Operators","-0.691","Other Services","Operations & Services"
"53-7072","Pump Operators, Except Wellhead Pumpers","-0.842","Other Services","Operations & Services"
"53-7073","Wellhead Pumpers","-1.091","Other Services","Operations & Services"
"53-7081","Refuse and Recyclable Material Collectors","-1.283","Other Services","Operations & Services"
"53-7111","Shuttle Car Operators","-1.352","Other Services","Operations & Services"
"53-7121","Tank Car, Truck, and Ship Loaders","-1.388","Other Services","Operations & Services"
